;sband status bits with labels used to generate plots
;sbplotstat will output all of these on continous pages in grp  nnn order
;Other plots can be generated by changing the grp  nnnn.n
; copied from new  dat 24nov11 then
; 1- added unused group, moved some bits to it
; 2- added bits from junk  dat that were not moved by move1.sc
; 3- rearranged order in groups
;{1,Summaries}
;{5,Proofs} 
;{10,Interlocks}
;{15,Faults}
;{20,Warnings}
;{25,Klystron,Waster} 
;{30,Miscellaneous} 
;{35,Tests} 
;{50,Calculation Limits} 
;{55,Meter Limits} 
;{60,Push Buttons}
;{65,User Defined}
;{99,Unused}
ngroups 13
groupnames {1,Summaries} {5,Proofs} {10,Interlocks} {15,Faults} {20,Warnings} {25,Klystron,Waster} {30,Miscellaneous} {35,Tests} {50,Calculation Limits} {55,Meter Limits} {60,Push Buttons} {65,User Defined} {99,Unused}
grouporder  1 5 10 15 20 25 30 35 50 55 60
;wd bit  grp  ord label

 27   7    1  001 'HVPS INTLK SUM'
 29   5    1  010 'HVPS OVER I SUM'
 36   3    1  013 'INTLK SUM'
 46   0    1  014 'CROWBAR READY SUM'
 29   7    1  015 'RF FLT SUM'
 36   2    1  020 'LIMIT SUM'
 36   4    1  030 'FLT SUM'
 36   5    1  035 'FAIL SUM'
  3   5    1  038 'WARNING SUM'
 37   5    1  040 'COOLING SUM'
 37   6    1  045 'ARC SUM'
 38   5    1  050 'FLOW SUM'
 46   6    1  060 'OVERTEMP SUM'
 37   7    1  065 'TTI SUM'
 38   3    1  070 'AUTOTEST SUM'
;
;   proofs   . put water flow at end
;
  7   4    5  001 'HV'
 19   0    5  005 'HVPS BRKER'
 19   1    5  010 'HVPS CONT'
 20   5    5  015 'K1 MAG PSCONT'
 20   6    5  020 'K2 MAG PSCONT'
  6   4    5  025 'K1 FILA I'
  6   5    5  030 'K2 FILA I'
  6   6    5  035 'K1 FILA V'
  6   7    5  040 'K2 FILA V'
 20   4    5  045 'FILA PSCONT'
  7   0    5  050 'K1 MAG I'
  7   1    5  055 'K2 MAG I'
  7   2    5  060 'K1 MAG V'
  7   3    5  065 'K2 MAG V'
  6   2    5  070 'K1 VACION V'
  6   3    5  075 'K2 VACION V'
 20   1    5  080 'CROWBAR HEAT'
 20   2    5  085 'CROWBAR BLOWER'
 20   3    5  090 'CROWBAR TRIG PS'
 38   1    5  095 'RF DRIVE 1'
 38   2    5  096 'RF DRIVE 2'
 38   6    5  097 'EXCITER INPUT'
;  water flow  proofs
  4   3    5  100 'WATER LEVEL'
  5   3    5  105 'SOCKET FLOW'
  4   4    5  110 'K1 COLL FLOW'
  4   5    5  115 'K2 COLL FLOW'
  5   4    5  120 'K1 BODY FLOW'
  5   5    5  125 'K2 BODY FLOW'
  5   6    5  130 'K1 MAG FLOW'
  5   7    5  135 'K2 MAG FLOW'
  6   0    5  140 'K1 WG FLOW'
  6   1    5  145 'K2 WG FLOW'
  4   7    5  150 'TX OUT WG FLOW'
  5   2    5  155 'FDROOM WG FLOW'
  5   0   99  002 'FDRM SPARE FLOW'
  5   1   99  003 'TXRM SPARE FLOW'
;
; Interlocks
;
 19   7    10  001 'HVPS GNDSW'
  9   0    10  005 'SHUTTER'
  9   1    10  010 'FLOOR'
 19   4    10  015 'HVPS GNDSTICK'
 19   2    10  020 'HVPS DOOR'
  8   2    10  025 'DOME DOOR'
  8   6    10  030 'DOME GNDSTICK'
  8   7    10  035 'DOME GNDSW'
 22   2    10  040 'EMGOFF'
;
; TESTS
;
 38   7    35  311 'TEST-FAIL OVER-RIDE'
 39   0    35  312 't01_INITIAL'
 39   1    35  313 't02_K1 REFL A'
 39   2    35  314 't03_K1 REFL B'
 39   3    35  315 't04_WSTR REFL A'
 39   4    35  316 't05_TURNSTILE FWD A'
 39   5    35  317 't06_ANTENNA REFL A'
 39   6    35  318 't07_K2 REFL A'
 39   7    35  319 't08_K2 REFL B'
 40   0    35  320 't09_WSTR REFL B'
 40   1    35  321 't10_TURNSTILE FWD B'
 40   2    35  322 't11_ANT REFL B'
 40   3    35  323 't12_BODY I A'
 40   4    35  324 't13_MAG 1 OVER-I'
 40   5    35  325 't14_MAG 1 UNDER-I'
 40   6    35  326 't15_MAG 1 OVER-V'
 40   7    35  327 't16_MAG 1 UNDER-V'
 41   0    35  328 't17_COLL 1 OVER-I'
 41   1    35  329 't18_VACION 1 OVER-I'
 41   2    35  330 't19_BODY I B'
 41   3    35  331 't20_MAG 2 OVER-I'
 41   4    35  332 't21_MAG 2 UNDER-I'
 41   5    35  333 't22_MAG 2 OVER-V'
 41   6    35  334 't23_MAG 2 UNDER-V'
 41   7    35  335 't24_COLL 2 OVER-I'
 42   0    35  336 't25_VACION 2 OVER-I'
 42   1    35  337 't26_K1 ARC'
 42   2    35  338 't27_K2 ARC'
 42   3    35  339 't28_CROWBAR FIRE'
 42   4    35  340 't29_MOV'
 42   5    35  341 't30_CROWBAR EMGOFF'
 42   6    99  004 'TEST 31'
 42   7    99  005 'TEST 32'
 44   0    35  352 'WG ARC 1A TEST'
 44   1    35  353 'WG ARC 2A TEST'
 44   2    35  354 'WG ARC 1B TEST'
 44   3    35  355 'WG ARC 2B TEST'
 44   4    35  356 'WSTR TEST'
 44   5    35  357 'ANT DET TEST'
 44   6    35  358 'TURN DET TEST'
 44   7    35  359 'K1 DET TEST'
 45   0    35  360 'K2 DET TEST'
 45   1    35  361 'CB TRIG TEST'
 45   2    35  362 'FO RCVR A TEST'
 45   3    35  363 'FO RCVR B TEST'
 45   4    35  364 'RF TEST FAIL'
 45   5    35  365 'HOT CB TEST FAIL'
 45   7    35  367 'DECLINED CB TEST'
;   Faults, ff, 
  0   0    15  001 'BODY I FF'
  0   1    15  005 'K1 COLL I FF'
  0   2    15  010 'K2 COLL I FF'
  0   3    15  015 'K1 MAG I FF'
  0   4    15  020 'K2 MAG I FF'
  0   5    15  025 'K1 MAG V FF'
  0   6    15  030 'K2 MAG V FF'
  0   7    15  035 'K1 VACION I FF'
  1   0    15  040 'K2 VACION I FF'
  1   1    99  045 'undefined FF'
  1   2    15  050 'WG ARC 1 FF'
  1   3    15  055 'WG ARC 2 FF'
  1   4    15  060 'K1 REFL PWR FF'
  1   5    15  065 'K2 REFL PWR FF'
  1   6    15  070 'WSTR REFL PWR FF'
  1   7    15  075 'ANT REFL PWR FF'
  2   0    15  080 '35KW DL FWD PWR FF'
  2   1    15  085 'HE A1 FANS FLT'
  2   2    15  090 'HE A2 FANS FLT'
  2   3    15  095 'HE A3 FANS FLT'
 18   6    15  100 'MAIN PUMP FLT'
 18   7    15  105 'WG PUMP FLT'
 19   5    15  110 'HVPS OIL FLT'
 20   0    15  115 'HVPS BREAKER FLT'
 21   0    15  120 'HVPS AC I FLT'
 21   3    15  125 '480 VAC FLT'
 21   4    15  130 'HVPS MOV FLT'
 21   5    15  135 'HVPS CONT FLT'
 23   3    15  140 'AC MAINS FAIL'
 46   3    15  200 'TTI INIT FAIL'
 28   0    15  205 'TTI 1'
 28   1    15  210 'TTI 2'
 28   2    15  215 'TTI 3'
 28   3    15  220 'TTI 4'
